ticker,company_name,market,currency,sector,data_source,data_start_year,data_end_year,fiscal_month,fiscal_day
HK.00005,汇丰控股,HK,USD,金融业,futu,2010,2025,12,31
HK.00388,香港交易所,HK,HKD,金融业,futu,2010,2025,12,31
HK.00939,建设银行,HK,CNY,金融业,futu,2010,2025,12,31
HK.01299,友邦保险,HK,USD,金融业,futu,2010,2025,12,31
HK.01398,工商银行,HK,CNY,金融业,futu,2010,2025,12,31
HK.02318,中国平安,HK,CNY,金融业,futu,2010,2025,12,31
HK.02388,中银香港,HK,HKD,金融业,futu,2010,2025,12,31
HK.02628,中国人寿,HK,CNY,金融业,futu,2010,2025,12,31
HK.03968,招商银行,HK,CNY,金融业,futu,2010,2025,12,31
HK.03988,中国银行,HK,CNY,金融业,futu,2010,2025,12,31
HK.00002,中电控股,HK,HKD,公用事业,futu,2010,2025,12,31
HK.00003,香港中华煤气,HK,HKD,公用事业,futu,2010,2025,12,31
HK.00006,电能实业,HK,HKD,公用事业,futu,2010,2025,12,31
HK.00836,华润电力,HK,HKD,公用事业,futu,2010,2025,12,31
HK.01038,长江基建集团,HK,HKD,公用事业,futu,2010,2025,12,31
HK.02688,新奥能源,HK,CNY,公用事业,futu,2010,2025,12,31
HK.00012,恒基地产,HK,HKD,地产建筑业,futu,2010,2025,12,31
HK.00016,新鸿基地产,HK,HKD,地产建筑业,futu,2010,2025,12,31
HK.00101,恒隆地产,HK,HKD,地产建筑业,futu,2010,2025,12,31
HK.00688,中国海外发展,HK,HKD,地产建筑业,futu,2010,2025,12,31
HK.00823,领展房产基金,HK,HKD,地产建筑业,futu,2010,2025,3,31
HK.00960,龙湖集团,HK,CNY,地产建筑业,futu,2010,2025,12,31
HK.01109,华润置地,HK,CNY,地产建筑业,futu,2010,2025,12,31
HK.01113,长实集团,HK,HKD,地产建筑业,futu,2010,2025,12,31
HK.01209,华润万象生活,HK,CNY,地产建筑业,futu,2010,2025,12,31
HK.01997,九龙仓置业,HK,HKD,地产建筑业,futu,2010,2025,12,31
HK.00001,长和,HK,HKD,工商业,futu,2010,2025,12,31
HK.00027,银河娱乐,HK,HKD,工商业,futu,2010,2025,12,31
HK.00066,港铁公司,HK,HKD,工商业,futu,2010,2025,12,31
HK.00175,吉利汽车,HK,CNY,工商业,futu,2010,2025,12,31
HK.00241,阿里健康,HK,CNY,工商业,futu,2010,2025,3,31
HK.00267,中信股份,HK,HKD,工商业,futu,2010,2025,12,31
HK.00285,比亚迪电子,HK,CNY,工商业,futu,2010,2025,12,31
HK.00288,万洲国际,HK,USD,工商业,futu,2010,2025,12,31
HK.00291,华润啤酒,HK,CNY,工商业,futu,2010,2025,12,31
HK.00300,美的集团,HK,CNY,工商业,futu,2010,2025,12,31
HK.00316,东方海外国际,HK,USD,工商业,futu,2010,2025,12,31
HK.00322,康师傅控股,HK,CNY,工商业,futu,2010,2025,12,31
HK.00386,中国石油化工股份,HK,CNY,工商业,futu,2010,2025,12,31
HK.00669,创科实业,HK,USD,工商业,futu,2010,2025,12,31
HK.00700,腾讯控股,HK,CNY,工商业,futu,2010,2025,12,31
HK.00728,中国电信,HK,CNY,工商业,futu,2010,2025,12,31
HK.00762,中国联通,HK,CNY,工商业,futu,2010,2025,12,31
HK.00857,中国石油股份,HK,CNY,工商业,futu,2010,2025,12,31
HK.00868,信义玻璃,HK,CNY,工商业,futu,2010,2025,12,31
HK.00883,中国海洋石油,HK,CNY,工商业,futu,2010,2025,12,31
HK.00941,中国移动,HK,CNY,工商业,futu,2010,2025,12,31
HK.00968,信义光能,HK,CNY,工商业,futu,2010,2025,12,31
HK.00981,中芯国际,HK,USD,工商业,futu,2010,2025,12,31
HK.00992,联想集团,HK,USD,工商业,futu,2010,2025,3,31
HK.01024,快手,HK,CNY,工商业,futu,2010,2025,12,31
HK.01044,恒安国际,HK,CNY,工商业,futu,2010,2025,12,31
HK.01088,中国神华,HK,CNY,工商业,futu,2010,2025,12,31
HK.01093,石药集团,HK,CNY,工商业,futu,2010,2025,12,31
HK.01099,国药控股,HK,CNY,工商业,futu,2010,2025,12,31
HK.01177,中国生物制药,HK,CNY,工商业,futu,2010,2025,12,31
HK.01211,比亚迪股份,HK,CNY,工商业,futu,2010,2025,12,31
HK.01378,中国宏桥,HK,CNY,工商业,futu,2010,2025,12,31
HK.01519,极兔速递,HK,CNY,工商业,futu,2010,2025,12,31
HK.01801,信达生物,HK,CNY,工商业,futu,2010,2025,12,31
HK.01810,小米集团,HK,CNY,工商业,futu,2010,2025,12,31
HK.01876,百威亚太,HK,USD,工商业,futu,2010,2025,12,31
HK.01928,金沙中国有限公司,HK,USD,工商业,futu,2010,2025,12,31
HK.01929,周大福,HK,HKD,工商业,futu,2010,2025,12,31
HK.02015,理想汽车,HK,CNY,工商业,futu,2010,2025,12,31
HK.02020,安踏体育,HK,CNY,工商业,futu,2010,2025,12,31
HK.02057,中通快递,HK,CNY,工商业,futu,2010,2025,12,31
HK.02269,药明生物,HK,CNY,工商业,futu,2010,2025,12,31
HK.02313,申洲国际,HK,CNY,工商业,futu,2010,2025,12,31
HK.02319,蒙牛乳业,HK,CNY,工商业,futu,2010,2025,12,31
HK.02331,李宁,HK,CNY,工商业,futu,2010,2025,12,31
HK.02359,药明康德,HK,CNY,工商业,futu,2010,2025,12,31
HK.02382,舜宇光学科技,HK,CNY,工商业,futu,2010,2025,12,31
HK.02600,中国铝业,HK,CNY,工商业,futu,2010,2025,12,31
HK.02618,京东物流,HK,CNY,工商业,futu,2010,2025,12,31
HK.02899,紫金矿业,HK,CNY,工商业,futu,2010,2025,12,31
