ticker,company_name,market,currency,sector,data_source,data_start_year,data_end_year,fiscal_month,fiscal_day
HK.00020,商汤,HK,CNY,资讯科技业,futu,2021,2025,12,31
HK.00241,阿里健康,HK,CNY,医疗保健业,futu,2014,2026,3,31
HK.00268,金蝶国际,HK,CNY,资讯科技业,futu,2010,2025,12,31
HK.00285,比亚迪电子,HK,CNY,资讯科技业,futu,2010,2025,12,31
HK.00300,美的集团,HK,CNY,非必需性消费,futu,2024,2025,12,31
HK.00700,腾讯控股,HK,CNY,资讯科技业,futu,2010,2025,12,31
HK.00780,同程旅行,HK,CNY,非必需性消费,futu,2018,2025,12,31
HK.00981,中芯国际,HK,USD,资讯科技业,futu,2010,2025,12,31
HK.00992,联想集团,HK,USD,资讯科技业,futu,2010,2026,3,31
HK.01024,快手,HK,CNY,非必需性消费,futu,2021,2025,12,31
HK.01211,比亚迪股份,HK,CNY,非必需性消费,futu,2010,2025,12,31
HK.01347,华虹半导体,HK,CNY,资讯科技业,futu,2014,2025,12,31
HK.01698,腾讯音乐,HK,CNY,非必需性消费,futu,2022,2025,12,31
HK.01810,小米集团,HK,CNY,资讯科技业,futu,2018,2025,12,31
HK.02015,理想汽车,HK,CNY,非必需性消费,futu,2021,2025,12,31
HK.02382,舜宇光学科技,HK,CNY,工业,futu,2010,2025,12,31
HK.03690,美团,HK,CNY,非必需性消费,futu,2018,2025,12,31
HK.03888,金山软件,HK,CNY,资讯科技业,futu,2010,2025,12,31
HK.06618,京东健康,HK,CNY,医疗保健业,futu,2020,2025,12,31
HK.06690,海尔智家,HK,CNY,非必需性消费,futu,2020,2025,12,31
HK.09618,京东集团,HK,CNY,非必需性消费,futu,2020,2025,12,31
HK.09626,哔哩哔哩,HK,CNY,非必需性消费,futu,2021,2025,12,31
HK.09660,地平线机器人,HK,CNY,资讯科技业,futu,2024,2025,12,31
HK.09863,零跑汽车,HK,CNY,非必需性消费,futu,2022,2025,12,31
HK.09866,蔚来,HK,CNY,非必需性消费,futu,2022,2025,12,31
HK.09868,小鹏集团,HK,CNY,非必需性消费,futu,2021,2025,12,31
HK.09888,百度集团,HK,CNY,非必需性消费,futu,2021,2025,12,31
HK.09961,携程集团,HK,CNY,非必需性消费,futu,2021,2025,12,31
HK.09988,阿里巴巴,HK,CNY,非必需性消费,futu,2019,2026,3,31
HK.09999,网易,HK,CNY,资讯科技业,futu,2020,2025,12,31
